brandname,brandorigincountry,brandoriginregion,brandsector,brandsubsector,equity2001,equity2002,equity2003,equity2004,equity2005,equity2006,equity2007,equity2008,equity2009,equity2010,equity2011,equity2012,equity2013,equity2014,equity2015,equity2016,equity2017,equity2018,equity2019,equity2020,equity2021
Louis Vuitton,France,Europe,Fashion,Luxury,7053.0,7054.0,6708.0,6602.0,16077.0,17606.0,20321.0,21602.0,21120.0,21860.0,23172.0,23577.0,24893.0,22552.0,22250.0,23998.0,22919.0,28152.0,32223.0,31720.0,36766.0
Chanel,France,Europe,Fashion,Luxury,4265.0,4272.0,4315.0,4416.0,4778.0,5156.0,5830.0,6355.0,6040.0,,,,,,,,,20005.0,22134.0,21203.0,22109.0
Hermès,France,Europe,Fashion,Luxury,,,3416.0,3376.0,3540.0,3854.0,4255.0,4575.0,4598.0,4782.0,5365.0,6182.0,7616.0,8977.0,10944.0,12833.0,14210.0,16372.0,17920.0,17961.0,21600.0
L’Oréal,France,Europe,Fashion,Cosmetics,,5079.0,5600.0,5902.0,6005.0,6392.0,7045.0,7508.0,7748.0,7981.0,8699.0,8821.0,9874.0,10162.0,10798.0,10930.0,10674.0,11102.0,11589.0,12553.0,12501.0
Dior,France,Europe,Fashion,Luxury,,,,,,,,,,,,,,,,4909.0,4587.0,5223.0,6045.0,5988.0,7024.0
Sephora,France,Europe,Fashion,Cosmetics,,,,,,,,,,,,,,,,,,,,,4628.0
Lancome,France,Europe,Fashion,Cosmetics,,,,,,,,,3235.0,3403.0,,,,,,,,,,,
Adidas,Germany,Europe,Fashion,Sportswear,3650.0,3690.0,3679.0,3740.0,4033.0,4290.0,4767.0,5072.0,5397.0,5495.0,6154.0,6699.0,7535.0,7378.0,6811.0,7885.0,9216.0,10772.0,11992.0,12070.0,13381.0
Boss,Germany,Europe,Fashion,Apparel,,,,,,,,,,,,,,4143.0,4270.0,,,,,,
Nivea,Germany,Europe,Fashion,Cosmetics,1782.0,2059.0,2221.0,2409.0,2576.0,2692.0,3116.0,3401.0,3557.0,3734.0,3883.0,,,,,,,,,,
Puma,Germany,Europe,Fashion,Sportswear,,,,,,,,,3154.0,,,,,,,,,,,,
Gucci,Italy,Europe,Fashion,Luxury,5363.0,5304.0,5100.0,4715.0,6619.0,7158.0,7697.0,8254.0,8182.0,8346.0,8763.0,9446.0,10151.0,10385.0,8882.0,9385.0,9969.0,12942.0,15949.0,15675.0,16656.0
Prada,Italy,Europe,Fashion,Luxury,,2489.0,2535.0,2568.0,2760.0,2874.0,3286.0,3585.0,3530.0,,,4271.0,5570.0,5977.0,6222.0,5504.0,4716.0,4812.0,4781.0,4495.0,5416.0
Benetton,Italy,Europe,Fashion,Apparel,1002.0,,,,,,,,,,,,,,,,,,,,
Bulgari,Italy,Europe,Fashion,Luxury,,,,,2715.0,2875.0,,,,,,,,,,,,,,,
Armani,Italy,Europe,Fashion,Luxury,1490.0,1509.0,,2613.0,2677.0,2783.0,,3526.0,3303.0,3443.0,3794.0,,,,,,,,,,
Zara,Spain,Europe,Fashion,Apparel,,,,,3730.0,4235.0,5165.0,5955.0,6789.0,7468.0,8065.0,9488.0,10821.0,12126.0,14031.0,16766.0,18573.0,17712.0,17175.0,14862.0,13503.0
H&M,Sweden,Europe,Fashion,Apparel,,,,,,,,13840.0,15375.0,16136.0,16459.0,16571.0,18168.0,21083.0,22222.0,22681.0,20488.0,16826.0,16345.0,14008.0,14133.0
Cartier,Switzerland,Europe,Fashion,Luxury,,,,2749.0,3050.0,3360.0,3852.0,4236.0,3968.0,4052.0,4781.0,5495.0,6897.0,7449.0,7924.0,7738.0,7547.0,7646.0,8192.0,7494.0,8161.0
Swatch,Switzerland,Europe,Fashion,Luxury,1004.0,,,,,,,,,,,,,,,,,,,,
Rolex,Switzerland,Europe,Fashion,Luxury,3701.0,3686.0,3673.0,3720.0,3906.0,4237.0,4589.0,4956.0,4609.0,,,,,,,,,,,,
Burberry,U.K.,Europe,Fashion,Luxury,,,,,,2783.0,3221.0,,3095.0,3110.0,3732.0,4342.0,5189.0,5594.0,5873.0,5362.0,5135.0,4989.0,5205.0,4809.0,5195.0
Nike,U.S.A.,America,Fashion,Sportswear,7589.0,7724.0,8167.0,9260.0,10114.0,10897.0,12003.0,12672.0,13179.0,13706.0,14528.0,15126.0,17085.0,19875.0,23070.0,25034.0,27021.0,30120.0,32376.0,34388.0,42538.0
Tiffany,U.S.A.,America,Fashion,Luxury,3483.0,3482.0,3540.0,3638.0,3618.0,3819.0,4003.0,4208.0,4000.0,4127.0,4498.0,5159.0,5440.0,5936.0,6306.0,5761.0,5394.0,5642.0,5335.0,4966.0,5484.0
Levi's,U.S.A.,America,Fashion,Apparel,3747.0,3454.0,3298.0,2979.0,2655.0,2689.0,,,,,,,,,,,,,,,
Gap,U.S.A.,America,Fashion,Apparel,8746.0,7406.0,7688.0,7873.0,8195.0,6416.0,5481.0,4357.0,3922.0,3961.0,4040.0,3731.0,3920.0,4122.0,,,,,,,
Ralph & Lauren,U.S.A.,America,Fashion,Apparel,,,,,,,,,,,,4038.0,4584.0,4979.0,4629.0,4092.0,,,,,
Estee,U.S.A.,America,Fashion,Cosmetics,,,,2634.0,,,,,,,,,,,,,,,,,
Avon,U.S.A.,America,Fashion,Cosmetics,4369.0,4399.0,4631.0,4849.0,5213.0,5040.0,5103.0,5264.0,4917.0,5072.0,5376.0,5151.0,4610.0,,,,,,,,
Polo,U.S.A.,America,Fashion,Luxury,1910.0,1928.0,2048.0,2147.0,,,3046.0,,3094.0,,,,,,,,,,,,
